release_date,movie,production_budget,domestic_gross,worldwide_gross,approx_profit,approx_profit_perc,year_of_release,month_of_release
2009-12-18,avatar,425000000,760507625,2776345279,2351345279,553.26,2009,12
2011-05-20,pirates of the caribbean: on stranger tides,410600000,241063875,1045663875,635063875,154.67,2011,5
2019-06-07,dark phoenix,350000000,42762350,149762350,-200237650,-57.21,2019,6
2015-05-01,avengers: age of ultron,330600000,459005868,1403013963,1072413963,324.38,2015,5
2017-12-15,star wars ep. viii: the last jedi,317000000,620181382,1316721747,999721747,315.37,2017,12
2015-12-18,star wars ep. vii: the force awakens,306000000,936662225,2053311220,1747311220,571.02,2015,12
2018-04-27,avengers: infinity war,300000000,678815482,2048134200,1748134200,582.71,2018,4
2007-05-24,pirates of the caribbean: at worldâs end,300000000,309420425,963420425,663420425,221.14,2007,5
2017-11-17,justice league,300000000,229024295,655945209,355945209,118.65,2017,11
2015-11-06,spectre,300000000,200074175,879620923,579620923,193.21,2015,11
2012-07-20,the dark knight rises,275000000,448139099,1084439099,809439099,294.34,2012,7
2018-05-25,solo: a star wars story,275000000,213767512,393151347,118151347,42.96,2018,5
2013-07-02,the lone ranger,275000000,89302115,260002115,-14997885,-5.45,2013,7
2012-03-09,john carter,275000000,73058679,282778100,7778100,2.83,2012,3
2010-11-24,tangled,260000000,200821936,586477240,326477240,125.57,2010,11
2007-05-04,spider-man 3,258000000,336530303,894860230,636860230,246.85,2007,5
2016-05-06,captain america: civil war,250000000,408084349,1140069413,890069413,356.03,2016,5
2016-03-25,batman v superman: dawn of justice,250000000,330360194,867500281,617500281,247.0,2016,3
2012-12-14,the hobbit: an unexpected journey,250000000,303003568,1017003568,767003568,306.8,2012,12
2009-07-15,harry potter and the half-blood prince,250000000,302089278,935213767,685213767,274.09,2009,7
2013-12-13,the hobbit: the desolation of smaug,250000000,258366855,960366855,710366855,284.15,2013,12
2014-12-17,the hobbit: the battle of the five armies,250000000,255119788,945577621,695577621,278.23,2014,12
2017-04-14,the fate of the furious,250000000,225764765,1234846267,984846267,393.94,2017,4
2006-06-28,superman returns,232000000,200120000,374085065,142085065,61.24,2006,6
2017-05-26,pirates of the caribbean: dead men tell no tales,230000000,172558876,788241137,558241137,242.71,2017,5
2008-11-14,quantum of solace,230000000,169368427,591692078,361692078,157.26,2008,11
2012-05-04,the avengers,225000000,623279547,1517935897,1292935897,574.64,2012,5
2006-07-07,pirates of the caribbean: dead manâs chest,225000000,423315812,1066215812,841215812,373.87,2006,7
2013-06-14,man of steel,225000000,291045518,667999518,442999518,196.89,2013,6
2008-05-16,the chronicles of narnia: prince caspian,225000000,141621490,417341288,192341288,85.49,2008,5
2012-07-03,the amazing spider-man,220000000,262030663,757890267,537890267,244.5,2012,7
2012-05-18,battleship,220000000,65233400,313477717,93477717,42.49,2012,5
2017-06-21,transformers: the last knight,217000000,130168683,602893340,385893340,177.83,2017,6
2015-06-12,jurassic world,215000000,652270625,1648854864,1433854864,666.91,2015,6
2012-05-25,men in black 3,215000000,179020854,654213485,439213485,204.29,2012,5
2009-06-24,transformers: revenge of the fallen,210000000,402111870,836519699,626519699,298.34,2009,6
2014-06-27,transformers: age of extinction,210000000,245439076,1104039076,894039076,425.73,2014,6
2006-05-26,x-men: the last stand,210000000,234362462,459260946,249260946,118.7,2006,5
2010-05-14,robin hood,210000000,105487148,322459006,112459006,53.55,2010,5
2005-12-14,king kong,207000000,218080025,550517357,343517357,165.95,2005,12
2007-12-07,the golden compass,205000000,70107728,367262558,162262558,79.15,2007,12
2018-02-16,black panther,200000000,700059566,1348258224,1148258224,574.13,2018,2
1997-12-19,titanic,200000000,659363944,2208208395,2008208395,1004.1,1997,12
2018-06-15,incredibles 2,200000000,608581744,1242520711,1042520711,521.26,2018,6
